	queryItem	preferredName
607	ZNF146	ZNF146
608	HDDC2	HDDC2
609	NCOA1	NCOA1
610	SEPHS1	SEPHS1
611	MRPL3	MRPL3
612	ATG5	ATG5
613	DDX21	DDX21
614	PPAT	PPAT
615	GGA2	GGA2
616	STAT6	STAT6
617	NDUFA6	NDUFA6
618	GAR1	GAR1
619	ARPC5L	ARPC5L
620	PSMA7	PSMA7
621	MEA1	MEA1
622	CKAP5	CKAP5
623	CYCS	CYCS
624	CLN5	CLN5
625	ANKS1A	ANKS1A
626	DNAJA1	DNAJA1
627	SNRPG	SNRPG
628	HNRNPUL1	HNRNPUL1
629	SLC48A1	SLC48A1
630	NKRF	NKRF
631	HTATSF1	HTATSF1
632	DDX18	DDX18
633	TXN	TXN
634	PPIE	PPIE
635	TECPR2	TECPR2
636	ERGIC2	ERGIC2
637	NOLC1	NOLC1
638	CACYBP	CACYBP
639	PSMD2	PSMD2
640	SEC63	SEC63
641	DPM1	DPM1
642	LSM2	LSM2
643	NISCH	NISCH
644	ACADVL	ACADVL
645	LETMD1	LETMD1
646	SSRP1	SSRP1
647	ATG14	ATG14
648	ADO	ADO
649	ETHE1	ETHE1
650	ZC3H15	ZC3H15
651	MSH6	MSH6
652	DAZAP1	DAZAP1
653	COG2	COG2
654	COPS3	COPS3
655	CSE1L	CSE1L
656	VPS54	VPS54
657	PPA1	PPA1
658	PSMD12	PSMD12
659	KIAA0247	SUSD6
660	PGK1	PGK1
661	LARP1	LARP1
662	GART	GART
663	SERINC3	SERINC3
664	DNAJC9	DNAJC9
665	HBP1	HBP1
666	POLR2D	POLR2D
667	CLUAP1	CLUAP1
668	PARP1	PARP1
669	SEL1L	SEL1L
670	COX5A	COX5A
671	ABCE1	ABCE1
672	TMEM50A	TMEM50A
673	C11orf24	C11orf24
674	NXT1	NXT1
675	RAN	RAN
676	SF3B5	SF3B5
677	FAM96B	CIAO2B
678	RYK	RYK
679	IARS	IARS1
680	RALGAPB	RALGAPB
681	PRKCI	PRKCI
682	PRMT1	PRMT1
683	VDAC3	VDAC3
684	PSMA5	PSMA5
685	RNF114	RNF114
686	ISCU	ISCU
687	KIF2A	KIF2A
688	NUP37	NUP37
689	H2AFV	H2AZ2
690	SFPQ	SFPQ
691	TNPO3	TNPO3
692	SRPRB	SRPRB
693	RHEB	RHEB
694	ILK	ILK
695	TSEN34	TSEN34
696	EMG1	EMG1
697	CCT8	CCT8
698	ABHD17A	ABHD17A
699	CCNI	CCNI
700	GRSF1	GRSF1
701	NFKB1	NFKB1
702	LMBRD1	LMBRD1
703	EDEM1	EDEM1
704	CCT4	CCT4
